@@,id,name
->,NULL->728f88bc-4a7f-483e-bf9f-d0a2751566fd,Eduard Odinets
---,d1ca5e95-1ec9-4aee-8119-6a31e17ae904,Kai Rimmel
---,a12ffc5c-0809-46cb-abc4-cc99a7fa3f60,Liina Kersna
---,315ea785-8f59-40e5-a158-3de8b908572f,Maris Lauri
---,ae55c88e-c202-4290-832b-b4e2fb5086ed,Johannes Kert
---,08c5906e-974e-47a6-aa66-50e60852910f,Urmas Espenberg
---,2240eda3-3fe9-457a-ab4f-2c52a4382c3c,Kalev Kallo
---,c7d52089-6129-468f-8789-9c4cf742b908,Kaja Kallas
---,47201a8e-4ae7-45fa-8659-b47930d6f99c,Taavi Rõivas
---,4a332fbb-be05-4cb2-b6a0-5916eb40fe89,Urmas Kruuse
---,31eee189-0019-469f-8469-7da564bf1af9,Kalle Laanet
---,ac0e1069-9bbf-4bf9-88fe-f609a671e74d,Siim Kiisler
---,e87a03b8-08cf-4b88-8a28-f26da1d65e30,Keit Pentus-Rosimannus
---,8e9879fd-2967-45ca-892b-42e927b22d75,Andres Sutt
---,0e66e826-df65-4fdd-a098-66a7e9a7c911,Signe Riisalo
---,d7d9e4d7-699e-4038-83c3-d13369f644c9,Tõnis Mölder
---,4dbb83c0-9dbe-4aa7-9d89-29cf398da20d,Anneli Ott
+++,818e6984-8310-4fc1-8f09-95254e2a3169,Marko Torm
+++,ee639cdf-b86c-48b7-9b34-fbba9b83826d,Margit Sutrop
+++,0f9372ee-f108-47f9-9192-82ff84cf3efb,Timo Suslov
+++,a137f382-44af-44b6-8ce7-1bfe7cc23007,Imre Sooäär
+++,74f8df6d-6f4d-410b-8b45-bf58922cf421,Mailis Reps
+++,a78027e5-2480-49f2-a340-ee88daf92d53,Urmas Reinsalu
+++,87b36dbb-08e9-4048-91eb-6df699c6e27e,Jüri Ratas
+++,410c0030-7bcd-4977-85c2-27af3439770f,Mati Raidma
+++,8d9daaeb-dbaf-4887-8311-881b29bedfa9,Õnne Pillak
+++,563f86fd-db45-4046-b8ed-b66e5a2aec45,Alar Laneman
+++,9ca053df-1f4a-478f-8fe6-a4c7e3c5a218,Sulev Kannimäe
+++,db46f14c-3bdf-47a0-bed4-0172f7d942db,Toomas Järveoja
+++,98008392-64a2-4429-8a41-fb051823e402,Martin Helme
+++,f70a1d6a-aa98-4a6b-9ffb-ff2f45f9739c,Ivi Eenmaa
+++,c26f94dc-bc04-4c46-8f30-d8611f5854b0,Tiiu Aro
+++,576e5358-efd7-4993-8945-f5e9aad48856,Aivar Viidik
